nohup: ignoring input
 * Serving Flask app 'test' (lazy loading)
 * Environment: production
   WARNING: This is a development server. Do not use it in a production deployment.
   Use a production WSGI server instead.
 * Debug mode: off
 * Running on all addresses.
   WARNING: This is a development server. Do not use it in a production deployment.
 * Running on http://10.0.0.179:5000/ (Press CTRL+C to quit)
127.0.0.1 - - [12/May/2022 20:23:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 20:56:23] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 20:56:24] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 20:58:26] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 20:58:28] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:02:24] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:02:25] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:32:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:32:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:46:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:46:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:47:59] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:48:00] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:49:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 21:49:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:10:32] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:10:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:17:18] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:17:19] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:31:11] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:31:12] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:31:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:31:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:40:57] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:40:58] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:43:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 22:43:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:21:31] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:21:32] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:30:32] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:30:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:30:41] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [12/May/2022 23:30:42] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:08:50] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:08:51] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:13:04] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:13:05] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:17:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:17:55] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:34:09] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:34:10] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:46:35] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:46:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:46:43] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:46:44] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:48:10] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:48:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 00:51:57] "GET /cocoa-contracts HTTP/1.0" 200 -
<?xml version="1.0" encoding="UTF-8"?>
<SOAP-ENV:Envelope xmlns:SOAP-ENV="http://schemas.xmlsoap.org/soap/envelope/" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:ns0="http://schemas.xmlsoap.org/soap/envelope/" xmlns:ns1="http://action.trm.services.generic.action.superfinanciera.nexura.sc.com.co/">
   <SOAP-ENV:Header/>
   <ns0:Body>
      <ns1:queryTCRM>
         <tcrmQueryAssociatedDate>2022-05-12 00:51:55.355309</tcrmQueryAssociatedDate>
      </ns1:queryTCRM>
   </ns0:Body>
</SOAP-ENV:Envelope>
[2022-05-13 00:51:58,564] ERROR in app: Exception on /trm [GET]
Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 78, in send
    fp = self.u2open(u2request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 119, in u2open
    return url.open(u2request, timeout=tm)
  File "/usr/lib/python3.8/urllib/request.py", line 531, in open
    response = meth(req, response)
  File "/usr/lib/python3.8/urllib/request.py", line 640, in http_response
    response = self.parent.error(
  File "/usr/lib/python3.8/urllib/request.py", line 569, in error
    return self._call_chain(*args)
  File "/usr/lib/python3.8/urllib/request.py", line 502, in _call_chain
    result = func(*args)
  File "/usr/lib/python3.8/urllib/request.py", line 649, in http_error_default
    raise HTTPError(req.full_url, code, msg, hdrs, fp)
urllib.error.HTTPError: HTTP Error 503: Service Unavailable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 652, in send
    reply = transport.send(request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 178, in send
    return HttpTransport.send(self, request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 86, in send
    raise TransportError(e.msg, e.code, e.fp)
suds.transport.TransportError: Service Unavailable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 2073, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1518, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1516, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1502, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**req.view_args)
  File "test.py", line 18, in welcome
    trm = client.service.queryTCRM(date)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 559, in __call__
    return client.invoke(args, kwargs)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 618, in invoke
    result = self.send(soapenv)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 664, in send
    result = self.failed(binding, e)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 726, in failed
    raise Exception((status, reason))
Exception: (503, 'Service Unavailable')
127.0.0.1 - - [13/May/2022 00:51:58] "GET /trm HTTP/1.0" 500 -
127.0.0.1 - - [13/May/2022 00:52:19] "GET /cocoa-contracts HTTP/1.0" 200 -
<?xml version="1.0" encoding="UTF-8"?>
<SOAP-ENV:Envelope xmlns:SOAP-ENV="http://schemas.xmlsoap.org/soap/envelope/" xmlns:xsi="http://www.w3.org/2001/XMLSchema-instance" xmlns:ns0="http://schemas.xmlsoap.org/soap/envelope/" xmlns:ns1="http://action.trm.services.generic.action.superfinanciera.nexura.sc.com.co/">
   <SOAP-ENV:Header/>
   <ns0:Body>
      <ns1:queryTCRM>
         <tcrmQueryAssociatedDate>2022-05-12 00:52:17.701068</tcrmQueryAssociatedDate>
      </ns1:queryTCRM>
   </ns0:Body>
</SOAP-ENV:Envelope>
[2022-05-13 00:52:20,509] ERROR in app: Exception on /trm [GET]
Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 78, in send
    fp = self.u2open(u2request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 119, in u2open
    return url.open(u2request, timeout=tm)
  File "/usr/lib/python3.8/urllib/request.py", line 531, in open
    response = meth(req, response)
  File "/usr/lib/python3.8/urllib/request.py", line 640, in http_response
    response = self.parent.error(
  File "/usr/lib/python3.8/urllib/request.py", line 569, in error
    return self._call_chain(*args)
  File "/usr/lib/python3.8/urllib/request.py", line 502, in _call_chain
    result = func(*args)
  File "/usr/lib/python3.8/urllib/request.py", line 649, in http_error_default
    raise HTTPError(req.full_url, code, msg, hdrs, fp)
urllib.error.HTTPError: HTTP Error 503: Service Unavailable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 652, in send
    reply = transport.send(request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 178, in send
    return HttpTransport.send(self, request)
  File "/usr/local/lib/python3.8/dist-packages/suds/transport/http.py", line 86, in send
    raise TransportError(e.msg, e.code, e.fp)
suds.transport.TransportError: Service Unavailable

During handling of the above exception, another exception occurred:

Traceback (most recent call last):
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 2073, in wsgi_app
    response = self.full_dispatch_request()
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1518, in full_dispatch_request
    rv = self.handle_user_exception(e)
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1516, in full_dispatch_request
    rv = self.dispatch_request()
  File "/usr/local/lib/python3.8/dist-packages/flask/app.py", line 1502, in dispatch_request
    return self.ensure_sync(self.view_functions[rule.endpoint])(**req.view_args)
  File "test.py", line 18, in welcome
    trm = client.service.queryTCRM(date)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 559, in __call__
    return client.invoke(args, kwargs)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 618, in invoke
    result = self.send(soapenv)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 664, in send
    result = self.failed(binding, e)
  File "/usr/local/lib/python3.8/dist-packages/suds/client.py", line 726, in failed
    raise Exception((status, reason))
Exception: (503, 'Service Unavailable')
127.0.0.1 - - [13/May/2022 00:52:20] "GET /trm HTTP/1.0" 500 -
127.0.0.1 - - [13/May/2022 01:21:09] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:21:10] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:21:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:21:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:22:02] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:22:03] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:25:07] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:25:08] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:28:18] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 01:28:19] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 12:56:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 12:56:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 13:26:31] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 13:26:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 13:41:23] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 13:41:24] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:04:52] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:04:53] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:09:01] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:09:02] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:11:40] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:11:41] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:35:03] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 14:35:04] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 16:17:38] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 16:17:38] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 16:27:36] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 16:27:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 23:01:10] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 23:01:11] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 23:01:16] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [13/May/2022 23:01:17] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 14:51:38] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 14:51:39] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:06:48] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:06:50] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:06:52] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:06:54] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:10:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:10:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:22:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:22:55] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:27:26] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:27:28] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:27:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:27:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:29:29] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:29:31] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:57:32] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 15:57:33] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:21:15] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:21:16] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:46:28] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:46:30] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:51:53] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:51:55] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:54:46] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 16:54:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 17:16:07] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 17:16:08] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 17:42:19] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 17:42:20] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:23:47] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:23:47] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:29:22] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:29:23] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:34:34] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:34:35] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:13] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:14] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:14] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:15] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:16] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:16] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:17] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:17] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:18] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:20] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:22] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 19:59:24] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:43:49] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:43:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:43:58] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:43:59] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:51:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:51:46] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:54:16] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:54:17] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:56:36] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:56:37] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:59:47] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 20:59:49] "GET /cocoa-contracts HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:02:45] "GET /trm HTTP/1.0" 200 -
127.0.0.1 - - [16/May/2022 21:02:47] "GET /cocoa-contracts HTTP/1.0" 200 -
